id	navi	ipa	infixes	partOfSpeech	source	stressed	syllables	infixDots	de	en	et	fr	hu	nl	pl	ru	sv
2020	taw	taw	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	taw	NULL	Himmel	sky	taevas	ciel	ég(bolt)	lucht, hemel	niebo	небо	himmel, sky
2024	taweyk	ta.ˈwɛjk̚	NULL	conj.	Frommer (01. February 2010) http://forum.learnnavi.org/language-updates/talun-taweyk-tafral-lun-oeyk-holpxay-hol/msg69552/	2	ta-weyk	NULL	weil, aufgrund der Ursache	because, based on the cause	sellepärast (põhjendus)	parce que | à cause de	mert, „azon oknál fogva”	omdat, vanwege de reden	ponieważ, dlatego że, gdyż, bowiem	поэтому, по причине	därför, baserad på orsaken
2025	taweyka	ta.ˈwɛj.ka	NULL	conj.	Frommer (01. February 2010) http://forum.learnnavi.org/language-updates/talun-taweyk-tafral-lun-oeyk-holpxay-hol/	2	ta-wey-ka	NULL	weil, aufgrund der Ursache	because, based on the cause	sellepärast (põhjendus)	parce que | à cause de	mert, „azon oknál fogva”	omdat, vanwege de reden	ponieważ, dlatego że, gdyż, bowiem	поэтому, по причине	därför, baserad på orsaken
2032	tawsìp	ˈtaw.sɪp̚	NULL	n.	NULL	1	taw-sìp	NULL	Himmelsschiff	skyship	taevalaev	vaisseau du ciel	éghajó	luchtschip	statek powietrzny	воздушное судно	himmelsskepp
2036	tawng	t·awŋ	t<0><1><2>awng	vin.	NULL	1	tawng	t..awng	untertauchen, sich ducken, tauchen	duck, dive	sukelduma	plonger | esquiver	lebukik, alámerül, zuhan	duiken, bukken	kucać	наклониться, пригнуться	ducka, dyka
2040	tawtsngal	ˈtaw.t͡sŋal	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	1	taw-tsngal	NULL	Panopyra, Himmelsbecher, panopyra aerii	panopyra, sky cup	Taevaketas (panopyra)	panopyra | [Panopyra aerii]	[?]panopyra, égi csésze (pandorai növényfaj)	panopyra, hemelbeker	panopyra, niebiański kielich	панопира («небесная чаша»)	himmelskopp
2044	tawtute	ˈtaw.tu.tɛ	NULL	n.	NULL	1	taw-tu-te	NULL	Himmelsperson, Mensch	skyperson, human	Taevaisik, inimene	Humain | Personne du ciel | Celui qui vient du ciel	ég ember (ember)	Luchtpersoon, mens	Człowiek nieba, człowiek	землянин, «небесная персона»	Himmelsperson, människa
2048	te	tɛ	NULL	part.	NULL	1	te	NULL	verwendet in Eigennamen	used in full names	kasutatakse täisnimedes	part. utilisée dans les noms complets	a teljes nevekben szerepel	wordt gebruikt in volledige namen	używana z imionami	используется в именах	partikel som används i hela namn
2056	tel	t·ɛl	t<0><1><2>el	vtr.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/	1	tel	t..el	empfangen, erhalten	receive	kätte saama, vastu võtma	recevoir	kap	ontvangen	otrzymywać, dostawać	получать, принимать	ta emot, få, mottaga
2060	telem	tɛ.ˈlɛm	NULL	n.	http://naviteri.org/2013/04/wheres-the-bathroom-and-other-useful-things/ (25 Apr 2013)	2	te-lem	NULL	Schnur, Seil, Leine, Strick	cord	nöör, pael	corde	zsinór	koord	sznur	верёвка, шнур	träns
2064	teng	tɛŋ	NULL	adj.	NULL	1	teng	NULL	selbe, gleiche, gleichwertig	same, equal	samasugune, võrdne	même | égal	azonos, egyenlő, megegyező	zoals, gelijk aan	równy, taki sam	похожий, подобный	samma, lika
2068	tengfya	ˈtɛŋ.fja	NULL	conj.	Frommer => Taronyu's Dictionary	1	teng-fya	NULL	wie, als, genauso wie, auf die gleiche Art wie (situationsbezogene Ähnlichkeit)	as, same way as (situational similarity)	nii, nagu; sama moodi (situatsiooni saransus)	la même manière que | comme | de même façon	(ugyan)úgy, ahogy/mint...; ahogy, olyanképpen (helyzetből adódó hasonlóság)	hetzelfde als (gelijke situatie)	jak, tak jak, równie, tak samo	как и, подобно тому как, тем же образом	som, samma sätt som (situationsanpassad likhet)
2072	tengkrr	tɛŋ.ˈkṛ	NULL	conj.	NULL	2	teng-krr	NULL	während, solange, wie (zur gleichen Zeit wie)	while, same time as	samal ajal	tandis que | en même temps	amíg, miközben, mialatt	terwijl, gelijk aan	kiedy, podczas gdy	пока, в то же время	under tiden, samtidigt som
2080	teri	tɛ.ˈɾi	NULL	adp.	http://forum.learnnavi.org/language-updates/all-adpositions/	2	te-ri	NULL	über, betreffend, bezüglich, hinsichtlich	about, concerning	(millegi, kellegi) suhtes	concernant | au sujet de	ról/ről, vonatkozóan, illetően	over, betreffende	o, dotyczący	смысловое выделение предмета сообщения («что касается...»)	angående, om
2084	terkup	ˈt·ɛɾ.k·up̚	t<0><1>erk<2>up	vin.	Taronyu's Dictionary 9.53 < Frommer	1	ter-kup	t.erk.up	sterben, umkommen	die	surema	mourir	meghal	doodgaan	umrzeć	умирать	dö
2088	teswotìng	tɛ.ˈswo.t·ɪŋ	teswot<0><1><2>ìng	vtr.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	te-swo-tìng	teswot..ìng	gewähren, zugestehen, gestatten, genehmigen (ii)	grant (ii)	rahuldama (soovi), (lahkelt) andma (e)	permettre | accorder	engedélyez	gunnen	udzielić (ii)	дарить, даровать, предоставлять	tillåta, bevilja
2092	teya	tɛ.ˈja	NULL	adj.	NULL	2	te-ya	NULL	voll, gefüllt, satt, ganz	full	täis	plein	tele	vol	pełny	полный	full
2096	teylu	ˈtɛj.lu	NULL	n.	Pandorapedia http://www.pandorapedia.com/fauna/forest/teylu	1	tey-lu	NULL	Käferlarve	beetle larva	Teilu (beetle larva)	beetle larvae	bogár lárva (pandorai állatfaj)	keverlarven	teylu	личинка жука (фауна Пандоры)	skalbaggslarv
2100	tewti	ˈtɛw.ti	NULL	intj.	NULL	1	tew-ti	NULL	Wow, Hey, Ausruf von Überraschung und Freude	wow, expression of surprise and pleasure	Ohsaa! väljendab üllatust või rahulolu	wow | whouah	gesz. hűha! nahát!	wow, uitroep van verrassing en plezier	ojej, wyrażenie pozytywnego zaskoczenia	ого!, ух ты!, выражение приятного удивления	wow!, uttryck av överraskning och nöje
2108	til	til	NULL	n.	NULL	1	til	NULL	Gelenk, Verbindungsstelle	joint, hinge	hing, ühenduskoht	joint | charnière | gond	ízület, zsanér	gewricht, scharnier	staw	подвижное соединение, дверная петля, сустав	fog, skrav
2116	tirea	ti.ˈɾɛ.a	NULL	n.	NULL	2	ti-re-a	NULL	Geist, Seele	spirit	vaim, hing	esprit	szellem, szellemiség	geest, ziel	duch, dusza	дух, душа	ande
2120	tireafya'o	ti.ˈɾɛ.a.ˌfja.ʔo	NULL	n.	NULL	2	ti-re-a-fya-'o	NULL	Spirit Path, Geistes Weg	spirit path	vaimu/hinge tee	chemin spirituel	szellemösvény, szellem(i) út (energiaháló)	zielenpad	ścieżka duchowa	духовный путь	andeväg
2124	tireaioang	ti.ˈɾɛ.a.i.ˌo.aŋ	NULL	n.	NULL	2	ti-re-a-i-o-ang	NULL	Spirit Animal, Geistes Tier, Seelentier	spirit animal	hingeloom	animal légendaire | esprit animal	szellemállat	geestdier, totem	zwierzę duchowe	животноедух	andedjur
2128	tireapängkxo	ti.ˈɾɛ.a.p·æŋ.ˌk'·o	tireap<0><1>ängkx<2>o	v.	Taronyu's Dictionary 9.665 < Frommer	2	ti-re-a-päng-kxo	tireap.ängkx.o	kommunizieren (nicht verbal)	commune	lähedaselt suhtlema	communier (être en communion au sens spirituel)	tanácskozik	in nauw contact staan (b.v. met natuur)	obcować, przebywać	общаться интимно	samtala i förtroende
2136	tì'eyng	tɪ.ˈʔɛjŋ	NULL	n.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/	2	tì-'eyng	NULL	Antwort, Erwiderung	answer, response	vastus	réponse	válasz, felelet	antwoorden	odpowiedź, odzew	ответ	svar, respons
2140	tìfmetok	tɪ.ˈfmɛ.tok̚	NULL	n.	Taronyu's Dictionary 9.718 < Frommer	2	tì-fme-tok	NULL	Test, Prüfung	test	kontroll, katse	test | essai | examen	próba(tétel)	proef, test	próba	проверка, испытание, тест	test
2144	tìftang	tɪ.ˈftaŋ	NULL	n.	Frommer (28. April 2010) http://forum.learnnavi.org/language-updates/ayliuo-fa-ni-si-ti/	2	tì-ftang	NULL	Stoppen, Aufhören; Glottisstop, plötzlicher Bruch in der Aussprache	stopping, the glottal stop	peatumine, kõrisulghäälik	arrêt	megállás, félbe/megszakítás, hangszalagzárhang	stoppen, de glottale stop	przerwa, zwarcie krtaniowe	остановка, прекращение	stoppet, den glottala klusilen
2148	tìfyawìntxu	tɪ.fja.wɪn.ˈt'u	NULL	n.	Frommer (20. January 2010) http://forum.learnnavi.org/news-announcements/a-response-from-paul-frommer!/	4	tì-fya-wìn-txu	NULL	Führung, Beratung, Leitung	guidance	juhendus, juhatamine	conseil | direction	útmutatás	begeleiding	przewodnictwo	руководство, наставление	vägledning
2152	tìhawnu	tɪ.ˈhaw.nu	NULL	n.	Film (18. December 2009) http://wiki.learnnavi.org/index.php?title=Na%27vi_from_Avatar_Movie#Eytukan.27s_Death	2	tì-haw-nu	NULL	Schutz, Bewahrung	protection	kaitse	protection	védelem	bescherming	ochrona, zabezpieczenie	защита, охрана	skydd
2156	tìkangkem	tɪ.ˈkaŋ.kɛm	NULL	n.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/	2	tì-kang-kem	NULL	Arbeit	work	töö	travail	munka	werk	praca	работа, дело	arbete
2160	tìkawng	tɪ.ˈkawŋ	NULL	n.	Taronyu's Dictionary 9.74 < Frommer	2	tì-kawng	NULL	Böse, Übel, Sünde	evil	kurjus, õelus	Toruk Makto, idiot	gonosz(ság)	(het) kwaad	zło	зло, вред, ущерб, несчастье	ondska
2164	tìkenong	tɪ.ˈkɛ.noŋ	NULL	n.	NULL	2	tì-ke-nong	NULL	Beispiel, Muster	example	näide	exemple	példa	voorbeeld	przykład	пример	exempel
2168	tìkin	tɪ.ˈkin	NULL	n.	NULL	2	tì-kin	NULL	Bedarf, Bedürfnis, Erfordernis	need	vajadus	besoin	szükség	noodzaak	potrzeba	необходимость, надобность, нужда	behov
2172	tìlor	tɪ.ˈloɾ	NULL	n.	Frommer http://forum.learnnavi.org/website-info/the-dictionary-part-ii/msg530248/#msg530248	2	tì-lor	NULL	Schönheit	beauty	ilu, kaunidus	beauté	szépség	schoonheid	piękno	красота	skönhet
2176	tìng	t·ɪŋ	t<0><1><2>ìng	vtr.	Frommer (21.10.2011) http://forum.learnnavi.org/language-updates/txing-and-hum/	1	tìng	t..ìng	geben	give	andma	donner	ad	geven	dać	давать	ge
2180	tìng mikyun	ˈt·ɪŋ ˈmik.jun	t<0><1><2>ìng mikyun	vin.	Taronyu's Dictionary 9.665 < Frommer	1	tìng mik-yun	t..ìng mikyun	zuhören, hinhören	listen	kuulama	écouter | prêter l'oreille	(meg)hallgat	luisteren	słuchać	слушать	lyssna
2184	tìng nari	ˈt·ɪŋ ˈna.ɾi	t<0><1><2>ìng nari	vin.	27 November 2012 http://naviteri.org/2012/11/renu-ayinanfyaya-the-senses-paradigm/	1	tìng na-ri	t..ìng nari	schauen, hinsehen, anschauen	look	vaata	regarder	figyel, szó sz.: szemet ad	kijken	patrzeć	смотреть	titta
2188	tìngay	tɪ.ˈŋaj	NULL	n.	NULL	2	tì-ngay	NULL	Wahrheit, Richtigkeit	truth	tõde	vérité	igazság	waarheid	prawda	правда	sanning
2192	tìpawm	tɪ.ˈpawm	NULL	n.	Frommer (19. January 2010) http://wiki.learnnavi.org/index.php?title=Canon#Extracts_from_various_emails	2	tì-pawm	NULL	Frage	question	küsimus	question	kérdés	vraag	pytanie	вопрос	fråga
2196	tìran	t·ɪ.ˈɾ·an	t<0><1>ìr<2>an	vin.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tì-ran	t.ìr.an	laufen, wandern, gehen	walk	käima, jalutama	marcher	sétál	lopen	iść	идти, ходить пешком	gå
2200	tìyawn	tɪ.ˈjawn	NULL	n.	http://forum.learnnavi.org/intermediate/language-update-a-closer-look-at-dr-frommers-letter/	2	tì-yawn	NULL	Liebe	love	armastus	amour	szeretet	liefde	miłość	любовь	kärlek
2204	tìrey	tɪ.ˈɾɛj	NULL	n.	ASG; http://wiki.learnnavi.org/index.php?title=Corpus#New_York_Times (end 2009); http://forum.learnnavi.org/language-updates/life-death-and-gerunds/ (17 May 2010)	2	tì-rey	NULL	Leben, Lebensdauer	life	elu	vie	élet	leven	życie	жизнь	liv
2208	tìrol	tɪ.ˈɾol	NULL	n.	Taronyu's Dictionary	2	tì-rol	NULL	Lied, Song, Gesang	song (vocal)	laul (vokaalne)	chant	dal, ének	lied (vocaal)	pieśń	песня	sång (vokal)
2212	tìspxin	tɪ.ˈsp'in	NULL	n.	http://wiki.learnnavi.org/index.php?title=Canon#Midsummer_Night.27s_Dream_Vocabulary	2	tì-spxin	NULL	Kranksein, Zustand des Krankseins	the state of being ill, sickness	haigus, haigeolek	malade	betegségi állapot	ziek zijn, een ziekte hebben	choroba, bycie chorym	болезнь (как состояние)	sjukdom, tillståndet att vara sjuk
2220	tìtxur	tɪ.ˈt'uɾ	NULL	n.	Frommer (28. April 2010) http://forum.learnnavi.org/language-updates/ayliuo-fa-ni-si-ti/	2	tì-txur	NULL	Stärke, Kraft	strength, power	tugevus, jõud	force	erő	kracht, sterkte	siła	сила, мощность, мощь	styrka
2224	to	to	NULL	part.	http://forum.learnnavi.org/language-updates/prrwll-moss-the-comparative-to-construct/ (24 Feb 2010)	1	to	NULL	Komparativ Marker als (verhält sich wie eine adp.)	comparative marker than (behaves like an adp.)	võrdlemise märkija kui 	[marqueur de comparaison] | ... que ...	középfokot jelez mint	vergelijkingsmarkeerder dan (gedraagt zich als adp.)	znacznik stopniowania niż (zachowuje się jak przyim.)	маркер сравнения чем (действует как предлог)	comparative marker than (behaves like an adp.)
2232	tok	t·ok̚	t<0><1><2>ok	vtr.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tok	t..ok	sein (räumlich), zugegen sein, Platz belegen	be at, occupy a space	olema, kohta hõivama	occuper (pour une zone) | résider (pour un habitat) | être (pour un emplacement)	elfoglal	zijn (plaats)	być (gdzieś), zajmować miejsce	пребывать гделибо, занимать место	vara, ockupera en plats
2236	toktor	ˈtok.toɾ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tok-tor	NULL	Doktor	doctor	arst	médecin	orvos	dokter	doktor	доктор	doktor
2240	tokx	tok'	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tokx	NULL	Körper, Leib	body	keha	corps	test	lichaam	ciało	тело	kropp
2244	tompa	ˈtom.pa	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tom-pa	NULL	Regen	rain	vihm	pluie	eső	regen	deszcz	дождь	regn
2248	toruk	ˈto.ɾuk̚	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	to-ruk	NULL	Großer Leonopteryx, Letzter Schatten	great leonopteryx, last shadow	Suur lendlõvi, Viimane vari (great leonopteryx)	grand leonopteryx | La dernière ombre	leonopteryx, végső árny (pandorai állatfaj)	reuzenleonopteryx, Laatste Schaduw	leonopteryks wielki, ostatni cień	большой леоноптерикс, «последняя тень»	sista skuggan, great leonopteryx
2252	toruk makto	ˈto.ɾuk̚ ˈmak.to	NULL	n.	Frommer (16. February 2010) http://forum.learnnavi.org/language-updates/combined-answers-1-%28feb-16%29/	2	to-ruk mak-to	NULL	Reiter des Toruk, Reiter des Letzten Schatten	toruk rider	Torukiga lendaja	Chevaucheur de Toruk	toruk lovas	toruk berijder	jeździec toruka	наездник большого леоноптерикса	ryttare av sista skuggan
2256	torukspxam	ˈto.ɾuk.sp'am	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	1	to-ruk-spxam	NULL	Octoshroom, grosser Leonopteryx Pilz, fungimonium giganteum	octoshroom, great leonopteryx fungus	Hiidseen (octoshroom)	[Fungimonium giganteum]	octoshroom, hatalmas leonopteryx gomba (pandorai növényfaj)	reuzenzwam, reuzenleonopteryxpaddestoel	fungimonium giganteum, oktofungus	«октогриб», гриб большого леоноптерикса	svamp
2260	trr	tṛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	trr	NULL	Tag	day	päev	jour (au sens temporel)	nap (napszak)	dag	dzień	день	dag
2264	trram	tṛ.ˈam	NULL	adv.	NULL	2	trr-am	NULL	gestern	yesterday	eile	hier	tegnap	gisteren	wczoraj	вчера	igår
2276	tukru	tuk.ˈɾu	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tuk-ru	NULL	Speer, Spieß	spear	oda	lance	lándzsa	speer	włócznia	копьё	spjut
2280	tul	t·ul	t<0><1><2>ul	vin.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tul	t..ul	rennen, laufen	run	jooksma	courir	fut	rennen	biec	бежать, бегать	springa
2284	tung	t·uŋ	t<0><1><2>ung	vtr.	http://en.wiktionary.org/wiki/Appendix:Na'vi  http://naviteri.org/2017/01/meliuteri-alu-tung-si-pllhrr-about-tung-and-pllhrr/ (02 Jan 2017)	1	tung	t..ung	erlauben, gestatten	allow	lubama, võimaldama	permettre | autoriser | accorder	enged	toestaan	pozwalać	позволять, разрешать	tillåta
2288	tupe	ˈtu.pɛ	NULL	inter.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tu-pe	NULL	Wer? (welche Person?)	who	kes	qui?	ki(csoda)?	wie	kto	кто, который	vem
2292	tut	tut̚	NULL	part.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tut	NULL	Partikel der Weiterführung (z.B. nga tut und du? )	continuation marker	vestluse jätkamise märkija	Marqueur de continuité	folytatás jelző (korábban elhangzott mondat megismétlésére szolgál)	voortgangsmarkeerder	oznaczenie kontynuacji	побуждение собеседника к высказыванию	kontinuerlig markör
2296	tute	ˈtu.tɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tu-te	NULL	Person, Mensch (Na'vi)	person	isik	femme	személy	persoon	osoba	персона (на'ви или человек)	person
2300	tuté	tu.ˈtɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tu-té	NULL	Frau, weibliche Person	female (person)	naine (isik)	femme	nő	vrouw (persoon)	kobieta	женщина	kvinna (person)
2304	tutan	tu.ˈtan	NULL	n.	(stress) http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)	2	tu-tan	NULL	Mann, männliche Person	male (person)	mees	mâle (personne) | homme | mec	férfi	man (persoon)	mężczyzna	мужчина	manlig person
2316	tsa'u	ˈt͡sa.ʔu	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsa-'u	NULL	jenes, das (Ding)	that (thing)	see (asi)	ça | cela	az (dolog)	dat (ding)	tamta (rzecz)	то, тот (объект), та (вещь)	den där, det där (saken)
2320	tsaheylu	t͡sa.ˈhɛj.lu	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tsa-hey-lu	NULL	Band, (neurale) Verbindung	bond (neural connection)	side	lien	kapcsolat, szinapszis (idegsejtek közt)	band (neurale verbinding)	więź (połączenie neuralne)	нейросвязь (между на'ви и живым миром)	band, förbindelse (nervanslutning)
2328	tsakem	ˈt͡sa.kɛm] or [t͡sa.ˈkɛm	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsa-kem	NULL	das (diese Aktion)	that (action)	see (tegevus)	cette action	az (cselekvés)	dat, die (actie)	tamta (czyność)	указание на действие	den där (handlingen)
2332	tsakrr	t͡sa.ˈkṛ	NULL	adv.	Frommer (31. Mrz 2012) http://naviteri.org/2012/03/spring-vocabulary-part-2/	2	tsa-krr	NULL	da, dann, zu diesem Zeitpunkt, jene Zeit	then, at that time, that time	siis, sel ajal	ce temps | ce moment	akkor	toen, op die tijd	wtedy, w tamtej chwili	тогда, в то время	då, den tiden
2336	tsam	t͡sam	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsam	NULL	Krieg	war	sõda	guerre	háború	oorlog	wojna	война	krig
2340	tsampongu	ˈt͡sam.po.ŋu	NULL	n.	Taronyu's Dictionary 9.665 < Frommer	1	tsam-po-ngu	NULL	Kriegspartei, Gruppe von Kriegern	war party	sõjakamp	guerriers | combattants (le groupe)	háborús csapat	oorlogsgroep	oddział (jednostka wojskowa)	отряд воинов	krigsparti, grupp av krigare
2344	tsamsiyu	ˈt͡sam.si.ju	NULL	n.	Taronyu's Dictionary 9.665 < Frommer	1	tsam-si-yu	NULL	Krieger	warrior	sõdalane	guerrier | combattant	harcos	krijger	wojownik	воин	krigare
2348	tsap'alute	t͡sap.ˈʔa.lu.tɛ	NULL	n.	Taronyu's Dictionary -> Survival Guide	2	tsap-'a-lu-te	NULL	Entschuldigung	apology	vabandus	excuse	bocsánatkérés	verontschuldiging, excuus	przeprosiny	извинение, прощение	ursäkt
2352	tsatseng	t͡sa.ˈt͡sɛŋ] or [ˈt͡sa.t͡sɛŋ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tsa-tseng	NULL	dort, da, jener Platz	there, that place	seal, selles kohas, see koht	Ici | là | cette place	ott, az(on) a hely(en)	daar, die plaats	tam, w tamtym miejscu	тут, здесь (указание на место)	där, det stället
2356	tsatu	ˈt͡sa.tu	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsa-tu	NULL	der, die, diese Person (da)	that person	see (isik)	cette personne	ő	die persoon	tamta osoba	этот (указание на землянина или на'ви)	den där (personen)
2360	tsawke	ˈt͡saw.kɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsaw-ke	NULL	Sonne	sun; Alpha Centauri A	päike	soleil	nap (égitest)	zon	słońce	солнце	sol
2364	tsawl	t͡sawl	NULL	adj.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsawl	NULL	groß, hochgewachsen	big (in size), tall	suur, pikk (inimeste kohta)	grand | énorme | gros (pour une envergure taille)	nagy, magas	groot, lang	duży, wysoki	большой, высокий, крупный по телосложению	stor (i storlek), lång
2368	tsawlapxangrr	ˈt͡saw.la.p'a.ŋṛ	NULL	n.	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)	1	tsaw-la-pxa-ngrr	NULL	Unideltabaum, wörtl. Große dicke Wurzel, magellum deltoids	unidelta tree, lit. tall large root	Tüvipuu (unidelta tree) 	[Magellum deltoids] | [Forme abrégée]: tsawlapx	unidelta fa, szó sz. magas, hatalmas gyökér (pandorai növényfaj)	unideltaboom, let. hoge grote wortel	magellum deltiods, drzewo unidelta	«высокий большой корень»	stor, lång rot
2376	tse'a	t͡s·ɛ.ˈʔ·a	ts<0><1>e'<2>a	vtr.	http://en.wiktionary.org/wiki/Appendix:Na'vi	2	tse-'a	ts.e'.a	sehen (im physischen Sinne)	see (physical sense)	nägema (otseselt)	voir (au sens physique)	lát (szemével)	zien (fysiek)	widzieć (fizycznie)	видеть, смотреть (зрительное ощущение)	se (fysiskt)
2380	tseng	t͡sɛŋ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tseng	NULL	Platz, Ort	place	koht	place, endroit	hely	plaats	miejsce	место	plats
2381	tsenge	ˈt͡sɛ.ŋɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tse-nge	NULL	Platz, Ort	place	koht	place	hely	plaats	miejsce	место	plats
2384	tsengpe	ˈt͡sɛŋ.pɛ	NULL	inter.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tseng-pe	NULL	Wo? (welcher Ort?)	where	kus	où?	hol?	waar	gdzie	где	var, vart
2388	tseo	ˈt͡sɛ.o	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tse-o	NULL	Kunst	art	kunst	art	művészet	kunst	sztuka	искусство	konst
2404	tskalep	ˈt͡ska.lɛp̚	NULL	n.	Taronyu's Dictionary 9.665 < Frommer	1	tska-lep	NULL	Armbrust (engl. crossbow)	crossbow	amb	arbalète	számszeríj, nyílpuska	kruisboog	kusza	арбалет	armborst
2408	tsko	t͡sko	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsko	NULL	Bogen (Waffe)	bow (weapon)	vibu	arc (l'arme)	íj (fegyver)	boog (wapen)	łuk (oręż)	лук (оружие)	båge (vapen)
2412	tsko swizaw	ˈt͡sko swi.ˈzaw	NULL	n.	Frommer http://naviteri.org/2011/10/more-vocabulary-a-bit-of-grammar/	2	tsko swi-zaw	NULL	Pfeil und Bogen	bow and arrow	vibu ja nool	arc et flèches	íj és nyíl	pijl en boog	łuk i strzała	лук и стрелы	pil och båge
2416	tskxe	t͡sk'ɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tskxe	NULL	Stein, Fels, Felsen	rock, stone	kivi	roche | pierre	kő	rots, steen	skała, kamień	камень	sten
2420	tskxekeng	ˈt͡sk'ɛ.kɛŋ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tskxe-keng	NULL	Training, Übung, Ausbildung	training, exercise	treening, harjutus	exercice | entraînement	kiképzés, edzés, gyakorlat	training, oefening	szkolenie, ćwiczenie	обучение, воспитание, тренировка	träning, övning
2424	tslam	t͡sl·am	tsl<0><1><2>am	vtr.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tslam	tsl..am	verstehen, begreifen	understand	aru saama, mõistma	comprendre	(meg)ért	begrijpen	rozumieć	понимать	förstå
2428	tsleng	t͡slɛŋ	NULL	adj.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsleng	NULL	falsch, fehlerhaft	false	vale	faux	hibás, valótlan	vals, onwaar	fałszywy	поддельный, неверный, неправильный, ошибочный	falsk
2432	tslolam	t͡slo.ˈlam	NULL	intj.	NULL	2	tslo-lam	NULL	verstehe, Ich verstehe	get it, I understand	sain aru! arusaadav	j'ai compris	Értem! (indulatszó)	begrepen, ik snap het	rozumiem, jasne	понятно, ясно (в качестве реплики)	jag fattar, jag förstår
2436	tsmuk	t͡smuk̚	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsmuk	NULL	Geschwister (Singular)	sibling	veresugulane, vend või õde	enfant de mêmes parents | semblable	testvér	broer/zus (unisex aanduiding)	rodzeństwo	брат или сестра	syskon
2440	tsmuktu	ˈt͡smuk.tu	NULL	n.	Taronyu's Dictioanry 9.689 < Frommer	1	tsmuk-tu	NULL	Geschwister (Singular)	sibling	veresugulane, vend või õde	enfants de mêmes parents	testvér (csak emberekre (na’vikra) használva)	broer/zus (unisex aanduiding)	rodzeństwo	братство	syskon
2444	tsmukan	ˈt͡smu.kan	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsmu-kan	NULL	Bruder	brother	vend	frère	fiú testvér	broer	brat	брат	broder, bror
2448	tsmuke	ˈt͡smu.kɛ	NULL	n.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsmu-ke	NULL	Schwester	sister	õde	soeur	lány testvér	zus	siostra	сестра	syster
2452	tsnì	t͡snɪ	NULL	sbd.	http://en.wiktionary.org/wiki/Appendix:Na'vi	1	tsnì	NULL	dass (Funktionswort)	that (function word)	et,see	que (pour une chose)	hogy, (kötőszó)	dat (functiewoord)	że	это (служебное слово)	att (funktionsord)
2456	tsngal	t͡sŋal	NULL	n.	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010)	1	tsngal	NULL	Tasse, Becher, Schale, Gefäß	cup	tass, kruus	tasse | coupe	csésze	beker	kielich	чаша, бокал, кубок	kopp, mugg
