word	unique letters	total letters	score
pängkxoyu	9	9	1.000000
lekoren	6	7	0.857143
prrkxentrrkrr	7	13	0.538462
tìftia	5	6	0.833333
tìftia kifkeyä	9	13	0.692308
pxir	4	4	1.000000
eanean	3	6	0.500000
'ele'wll	4	8	0.500000
tstxa'a	5	7	0.714286
pa'liwll	6	8	0.750000
anìheyu	7	7	1.000000
tompawll	7	8	0.875000
pxiwll	5	6	0.833333
syeptute	6	8	0.750000
kllpxiwll	6	9	0.666667
smaoe	5	5	1.000000
'ä'o	3	4	0.750000
mulpxar	7	7	1.000000
flefle	3	6	0.500000
kxaylte	7	7	1.000000
fkxakewll	7	9	0.777778
tìhawnuwll	8	10	0.800000
pxorna'lor	8	10	0.800000
pxayzekwä	9	9	1.000000
mìnyu	5	5	1.000000
mìnyu	5	5	1.000000
väfewll	6	7	0.857143
sngukx	6	6	1.000000
rawp	4	4	1.000000
'ampirikx	8	9	0.888889
apxangrr	6	8	0.750000
värumut	6	7	0.857143
keyawr	6	6	1.000000
lehrrap	6	7	0.857143
tìtxen	5	6	0.833333
hìrumwll	7	8	0.875000
fwäkì	5	5	1.000000
fratxon	7	7	1.000000
hìkrr	4	5	0.800000
mawkrr	5	6	0.833333
ngeyn	4	5	0.800000
ngopyu	6	6	1.000000
nìk'ong	6	7	0.857143
pamtseotu	8	9	0.888889
sat	3	3	1.000000
tsal	4	4	1.000000
tsat	3	4	0.750000
tsawlhì'	8	8	1.000000
lì'fyavi	8	8	1.000000
nafì'u	6	6	1.000000
lì'fyaolo'	7	10	0.700000
puktsyìp	7	8	0.875000
utraltsyìp	9	10	0.900000
säspxintsyìp	9	12	0.750000
'itetsyìp	8	9	0.888889
sa'nutsyìp	9	10	0.900000
kem si	5	5	1.000000
tswin	5	5	1.000000
tswintsyìp	8	10	0.800000
taronyutsyìp	10	12	0.833333
oetsyìp	7	7	1.000000
ngatsyìp	8	8	1.000000
atanvi	5	6	0.833333
txeptsyìp	7	9	0.777778
tìkusar	7	7	1.000000
tìyusom	7	7	1.000000
tìtusaron	8	9	0.888889
tìpängkxotsyìp	11	14	0.785714
hayalo	5	6	0.833333
hamalo	5	6	0.833333
tstunwi	6	7	0.857143
seykxel	6	7	0.857143
fuke	4	4	1.000000
'a'aw	3	5	0.600000
'okrol	5	6	0.833333
'okvur	6	6	1.000000
alu	3	3	1.000000
fnawe'	6	6	1.000000
fnawe'tu	8	8	1.000000
ftxìlor	7	7	1.000000
ftxìvä'	7	7	1.000000
fyeyn	4	5	0.800000
fyeyntu	6	7	0.857143
tìfyeyn	6	7	0.857143
hawngkrr	7	8	0.875000
lehawngkrr	9	10	0.900000
leye'krr	6	8	0.750000
hek	3	3	1.000000
nìhek	5	5	1.000000
ki	2	2	1.000000
nìfyeyntu	7	9	0.777778
nì'eveng	6	8	0.750000
lìng	4	4	1.000000
ram	3	3	1.000000
muntxatu	6	8	0.750000
muntxatan	6	9	0.666667
muntxate	7	8	0.875000
netrìp	6	6	1.000000
newomum	6	7	0.857143
lenomum	6	7	0.857143
tìnomum	6	7	0.857143
ngäzìk	6	6	1.000000
tìngäzìk	7	8	0.875000
nìsung	5	6	0.833333
reng	4	4	1.000000
rolun	5	5	1.000000
sa'sem	5	6	0.833333
smar	4	4	1.000000
starsìm	6	7	0.857143
sunu	3	4	0.750000
syayvi	5	6	0.833333
nìsyayvi	7	8	0.875000
tolel	4	5	0.800000
txukx	4	5	0.800000
ve'kì	5	5	1.000000
tìve'kì	6	7	0.857143
yaymak	4	6	0.666667
ye'krr	5	6	0.833333
zìsìkrr	5	7	0.714286
zo	2	2	1.000000
zoslu	5	5	1.000000
zeyko	5	5	1.000000
frawzo	6	6	1.000000
kemlì'uvi	9	9	1.000000
irayo si	6	7	0.857143
lefkrr	5	6	0.833333
lì'upam	7	7	1.000000
natkenong	7	9	0.777778
eltur tìtxen si	10	13	0.769231
pxelo	5	5	1.000000
pamrelfya	8	9	0.888889
law si	5	5	1.000000
naer	4	4	1.000000
atxkxerel	7	9	0.777778
nìtengfya	8	9	0.888889
tun	3	3	1.000000
'om	3	3	1.000000
neyn	3	4	0.750000
ngul	4	4	1.000000
tumpin	6	6	1.000000
eampin	6	6	1.000000
rimpin	5	6	0.833333
'ompin	6	6	1.000000
layompin	8	8	1.000000
teyrpin	7	7	1.000000
vawmpin	7	7	1.000000
neympin	6	7	0.857143
ngulpin	6	7	0.857143
pil	3	3	1.000000
ta'lengean	7	10	0.700000
rìkean	6	6	1.000000
kllvawm	6	7	0.857143
'evan	5	5	1.000000
'eve	3	4	0.750000
'evengan	6	8	0.750000
'evenge	5	7	0.714286
fkio	4	4	1.000000
kenten	4	6	0.666667
nìwä	4	4	1.000000
pìwopx	5	6	0.833333
ramtsyìp	8	8	1.000000
syaksyuk	5	8	0.625000
tor	3	3	1.000000
txärem	6	6	1.000000
uk	2	2	1.000000
yapay	3	5	0.600000
tìspe'e	6	7	0.857143
tìftxavang	8	10	0.800000
tìtstunwi	7	9	0.777778
stxeli	6	6	1.000000
ngrrpongu	6	9	0.666667
smon	4	4	1.000000
lawk	4	4	1.000000
hìtxoa	6	6	1.000000
mäkxu	5	5	1.000000
hultstxem	8	9	0.888889
mok	3	3	1.000000
muwìntxu	7	8	0.875000
kan'ìn	5	6	0.833333
tìwusem	7	7	1.000000
nì'eng	5	6	0.833333
Pari	4	4	1.000000
tì'ong	6	6	1.000000
tìmok	5	5	1.000000
tì'em	5	5	1.000000
leyn	4	4	1.000000
päsketpol	8	9	0.888889
nìFranse	7	8	0.875000
nìToitsye	9	9	1.000000
nìno	3	4	0.750000
hìno	4	4	1.000000
leno	4	4	1.000000
tìno	4	4	1.000000
'ongokx	6	7	0.857143
nokx	4	4	1.000000
nìtrrtrr	4	8	0.500000
tìn	3	3	1.000000
txin	4	4	1.000000
txintìn	5	7	0.714286
'emyu	5	5	1.000000
vewng	5	5	1.000000
kaltxì si	8	8	1.000000
sopyu	5	5	1.000000
fula	4	4	1.000000
tskxekeng si	8	11	0.727273
way si	5	5	1.000000
swawtsyìp	7	9	0.777778
käteng	6	6	1.000000
'ìn	3	3	1.000000
Sweriye	6	7	0.857143
nìfkrr	5	6	0.833333
sulìn	5	5	1.000000
vrrìn	4	5	0.800000
tìk'ìn	5	6	0.833333
säsulìn	6	7	0.857143
'o'	2	3	0.666667
Europa	6	6	1.000000
skxaypxe	7	8	0.875000
pxorpam	6	7	0.857143
tì'o'	4	5	0.800000
nì'o'	4	5	0.800000
fnan	3	4	0.750000
wätx	4	4	1.000000
tìsom	5	5	1.000000
tìwew	4	5	0.800000
tìlen	5	5	1.000000
nìnäk	4	5	0.800000
nìhay	5	5	1.000000
sayrìp	6	6	1.000000
letokx	6	6	1.000000
säzärìp	6	7	0.857143
ìpxa	4	4	1.000000
tìhawnu si	9	9	1.000000
sno	3	3	1.000000
kìte'e si	7	8	0.875000
var	3	3	1.000000
nìftxan	6	7	0.857143
Yeysu	5	5	1.000000
lelì'fya	7	8	0.875000
takrra	4	6	0.666667
akrrta	4	6	0.666667
few	3	3	1.000000
fewtusok	8	8	1.000000
sla'tsu	6	7	0.857143
tìsla'tsu	7	9	0.777778
'en	3	3	1.000000
'en si	5	5	1.000000
le'en	4	5	0.800000
nì'en	4	5	0.800000
sä'o	4	4	1.000000
pamtseo si	8	9	0.888889
väng	4	4	1.000000
tìväng	6	6	1.000000
sngum	5	5	1.000000
nìsngum	6	7	0.857143
yayayr	3	6	0.500000
wäte	4	4	1.000000
tìwäte	5	6	0.833333
säwäte	5	6	0.833333
lewäte	5	6	0.833333
nìwäte	6	6	1.000000
li	2	2	1.000000
lisre+	6	6	1.000000
ronsrelngop	8	11	0.727273
ronsrel	6	7	0.857143
tìronsrel	8	9	0.888889
txanatan	4	8	0.500000
leronsrel	6	9	0.666667
nìronsrel	7	9	0.777778
srefey	5	6	0.833333
mawl	4	4	1.000000
pan	3	3	1.000000
wan	3	3	1.000000
nìwan	4	5	0.800000
tìwan	5	5	1.000000
letwan	6	6	1.000000
slele	3	5	0.600000
nìslele	5	7	0.714286
tìtaron	6	7	0.857143
ìì	1	2	0.500000
tsukyom	7	7	1.000000
ketsuktswa'	8	11	0.727273
tsuktswa'	7	9	0.777778
yafkeyk	5	7	0.714286
fkeytok	6	7	0.857143
tìfkeytok	7	9	0.777778
tompameyp	7	9	0.777778
tskxaytsyìp	8	11	0.727273
tskxepay	8	8	1.000000
herwì	5	5	1.000000
tomperwì	8	8	1.000000
txanfwerwì	9	10	0.900000
hermeyp	6	7	0.857143
hertxayo	8	8	1.000000
ìlva	4	4	1.000000
txepìva	7	7	1.000000
herwìva	7	7	1.000000
payìva	5	6	0.833333
tompìva	7	7	1.000000
kintrr	5	6	0.833333
mrrtrr	3	6	0.500000
muntrr	5	6	0.833333
kintrram	7	8	0.875000
kintrray	7	8	0.875000
muntrram	6	8	0.750000
muntrray	7	8	0.875000
vospxì	6	6	1.000000
vospxìam	8	8	1.000000
vospxìay	8	8	1.000000
sweylu	6	6	1.000000
ye	2	2	1.000000
hasey si	6	7	0.857143
seysonìltsan	9	12	0.750000
yehakx	6	6	1.000000
yeväng	6	6	1.000000
somwew	5	6	0.833333
pup	2	3	0.666667
ngimpup	6	7	0.857143
pesomwew	6	8	0.750000
somwewpe	6	8	0.750000
txawew	5	6	0.833333
wur	3	3	1.000000
tsyafe	6	6	1.000000
sang	4	4	1.000000
txasom	6	6	1.000000
leyapay	5	7	0.714286
lepwopx	6	7	0.857143
nìhol	5	5	1.000000
nìpxay	6	6	1.000000
paynga'	6	7	0.857143
meuianga'	8	9	0.888889
txumnga'	8	8	1.000000
'akra	4	5	0.800000
hufwetsyìp	10	10	1.000000
nìlam	5	5	1.000000
nìli	4	4	1.000000
nìfrakrr	6	8	0.750000
am'a	3	4	0.750000
nga'	4	4	1.000000
tìftang si	8	9	0.888889
may'	4	4	1.000000
yora'	5	5	1.000000
snaytx	6	6	1.000000
tìyora'	7	7	1.000000
tìsnaytx	7	8	0.875000
'otxang	7	7	1.000000
skxir	5	5	1.000000
leskxir	7	7	1.000000
skxir si	5	7	0.714286
skxirtsyìp	9	10	0.900000
sloan	5	5	1.000000
emrey	4	5	0.800000
temrey	5	6	0.833333
lemrey	5	6	0.833333
nemrey	5	6	0.833333
wawe	3	4	0.750000
txanwawe	6	8	0.750000
nìwawe	5	6	0.833333
keyrel	5	6	0.833333
fwampop	6	7	0.857143
säplltxe	7	8	0.875000
säplltxevi	9	10	0.900000
kawtseng	8	8	1.000000
tsapo	5	5	1.000000
fwefwi	4	6	0.666667
'etnaw	6	6	1.000000
pllngay	6	7	0.857143
kawngsar	7	8	0.875000
lom	3	3	1.000000
koaktan	5	7	0.714286
koakte	5	6	0.833333
koaktu	5	6	0.833333
lomtu	5	5	1.000000
fe'	3	3	1.000000
nìfe'	5	5	1.000000
wätu	4	4	1.000000
fekem	4	5	0.800000
hawtsyìp	8	8	1.000000
uran	4	4	1.000000
ftxozä si	8	8	1.000000
kekem	3	5	0.600000
pxen	4	4	1.000000
tewng	5	5	1.000000
raspu'	6	6	1.000000
hawnven	6	7	0.857143
hawntsyokx	10	10	1.000000
hawre'	6	6	1.000000
ioi	2	3	0.666667
nìlun	4	5	0.800000
'ali'ä	5	6	0.833333
'are	4	4	1.000000
fkxile	6	6	1.000000
masat	4	5	0.800000
nikroi	5	6	0.833333
pxawpxun	6	8	0.750000
renten	4	6	0.666667
tsamopin	8	8	1.000000
tsang	5	5	1.000000
miktsang	8	8	1.000000
ontsang	6	7	0.857143
yemstokx	8	8	1.000000
ioi si	3	5	0.600000
'aku	4	4	1.000000
le'aw	5	5	1.000000
mawkrra	5	7	0.714286
akrrmaw	5	7	0.714286
Toitslan	8	8	1.000000
Toitsye	7	7	1.000000
lukpen	6	6	1.000000
fmawnta	6	7	0.857143
vin	3	3	1.000000
mìftxele	7	8	0.875000
zìma'uyu	7	8	0.875000
nìvingkap	8	9	0.888889
txankrr	6	7	0.857143
vingkap	7	7	1.000000
tìomum	5	6	0.833333
tinan	4	5	0.800000
ninan	3	5	0.600000
tsmìm	4	5	0.800000
inan	3	4	0.750000
'ä'	2	3	0.666667
teynga	6	6	1.000000
teyngla	7	7	1.000000
teyngta	6	7	0.857143
fayluta	6	7	0.857143
stxenu	6	6	1.000000
tìtstew	5	7	0.714286
tìtstewnga'	9	11	0.818182
stxenutìng	8	10	0.800000
tsyär	5	5	1.000000
tìtsyär	6	7	0.857143
mll'an	5	6	0.833333
tìmll'an	7	8	0.875000
kam	3	3	1.000000
kay	3	3	1.000000
'awnìm	6	6	1.000000
steng	5	5	1.000000
nìsteng	6	7	0.857143
nim	3	3	1.000000
srätx	5	5	1.000000
säsrätx	5	7	0.714286
rì'ìr	3	5	0.600000
rì'ìr si	5	7	0.714286
tsìsyì	4	6	0.666667
nìwok	5	5	1.000000
sätsìsyì	5	8	0.625000
nìtsìsyì	5	8	0.625000
nìfwefwi	6	8	0.750000
lawr	4	4	1.000000
tìng lawr	8	8	1.000000
säomum	5	6	0.833333
kosman	6	6	1.000000
nìksman	6	7	0.857143
letsim	6	6	1.000000
lesngä'i	8	8	1.000000
nìtsim	6	6	1.000000
nìsngä'i	7	8	0.875000
ngong	3	5	0.600000
walak	4	5	0.800000
tìngong	5	7	0.714286
txi	3	3	1.000000
letxi	5	5	1.000000
nìtxi	5	5	1.000000
letxiluke	7	9	0.777778
nìtxiluke	9	9	1.000000
kulat	5	5	1.000000
txantompa	7	9	0.777778
meyam	4	5	0.800000
sämyam	5	6	0.833333
fìtsap	6	6	1.000000
nuä+	4	4	1.000000
kanfpìl	7	7	1.000000
fmokx	5	5	1.000000
nìfmokx	7	7	1.000000
kìmar	5	5	1.000000
nìkmar	6	6	1.000000
nìngong	4	7	0.571429
säpom	5	5	1.000000
kxukx	3	5	0.600000
txewm	5	5	1.000000
hìmpxì	5	6	0.833333
kawnglan	6	8	0.750000
nutx	4	4	1.000000
flì	3	3	1.000000
flìnutx	7	7	1.000000
sneyä	5	5	1.000000
säsyep	5	6	0.833333
yora'tu	7	7	1.000000
snaytu	6	6	1.000000
way a plltxe	8	10	0.800000
way a rol	6	7	0.857143
wayä aylì'u	8	10	0.800000
ultxatu	5	7	0.714286
wo	2	2	1.000000
yawo	4	4	1.000000
tsìk	4	4	1.000000
kllwo	4	5	0.800000
kllpä	4	5	0.800000
sätswayon	8	9	0.888889
rawn	4	4	1.000000
tìrawn	6	6	1.000000
särawn	6	6	1.000000
kxeltek	5	7	0.714286
fngo'	5	5	1.000000
säfngo'	7	7	1.000000
ngam	4	4	1.000000
slär	4	4	1.000000
ngampam	5	7	0.714286
ngampam si	7	9	0.777778
faoi	4	4	1.000000
ekxtxu	5	6	0.833333
yo'	3	3	1.000000
nìyo'	5	5	1.000000
nìyol	5	5	1.000000
tìyo'	5	5	1.000000
'ipu	4	4	1.000000
tì'ipu	6	6	1.000000
tìfmi	5	5	1.000000
sä'ipu	6	6	1.000000
hangvur	7	7	1.000000
lì'uvan	7	7	1.000000
kanom	5	5	1.000000
säkanom	7	7	1.000000
srìn	4	4	1.000000
käsrìn	6	6	1.000000
zasrìn	6	6	1.000000
säsrìn	5	6	0.833333
pxìmun'i	8	8	1.000000
lätxayn	7	7	1.000000
sälätxayn	8	9	0.888889
yll	2	3	0.666667
nìyll	4	5	0.800000
hona	4	4	1.000000
tìhona	6	6	1.000000
fäkä	3	4	0.750000
fäza'u	6	6	1.000000
kllza'u	6	7	0.857143
sämok	5	5	1.000000
mal	3	3	1.000000
nìmal	5	5	1.000000
tìmal	5	5	1.000000
kllyem	5	6	0.833333
nìtsyìl	6	7	0.857143
sätsyìl	6	7	0.857143
rìn	3	3	1.000000
flawkx	6	6	1.000000
'ana	3	4	0.750000
tsngawpay	8	9	0.888889
tsngawpayvi	10	11	0.909091
nìhona	5	6	0.833333
lepay	5	5	1.000000
'ul	3	3	1.000000
nän	2	3	0.666667
nìnän	3	5	0.600000
nì'ul'ul	5	8	0.625000
nìnänän	3	7	0.428571
mek	3	3	1.000000
leioae	5	6	0.833333
leioae si	6	8	0.750000
säwìntxu	8	8	1.000000
tì'i'a	5	6	0.833333
srer	3	4	0.750000
'ìp	3	3	1.000000
tsong	5	5	1.000000
tsongtsyìp	8	10	0.800000
ro'a	4	4	1.000000
säro'a	6	6	1.000000
säro'a si	7	8	0.875000
txanro'a	7	8	0.875000
velek	4	5	0.800000
spono	4	5	0.800000
txew	4	4	1.000000
txewnga'	8	8	1.000000
litx	4	4	1.000000
fwem	4	4	1.000000
syura	5	5	1.000000
syuratan	7	8	0.875000
txonkrr	6	7	0.857143
yuey	3	4	0.750000
kxem	4	4	1.000000
txay	4	4	1.000000
nìkxem	6	6	1.000000
nìtxay	6	6	1.000000
klltxay	6	7	0.857143
klltxeykay	7	10	0.700000
yo	2	2	1.000000
kxemyo	6	6	1.000000
fyep	4	4	1.000000
nìk'ärìp	7	8	0.875000
nìklonu	6	7	0.857143
nìktungzup	8	10	0.800000
nìsyep	6	6	1.000000
nìmeyp	6	6	1.000000
säfyep	6	6	1.000000
slan	4	4	1.000000
tìslan	6	6	1.000000
tìeyktan	7	8	0.875000
'llngo	5	6	0.833333
zare'	5	5	1.000000
flawm	5	5	1.000000
prrku	4	5	0.800000
ngep	4	4	1.000000
tawsyuratan	8	11	0.727273
syeha	5	5	1.000000
syeha si	6	7	0.857143
sko+	4	4	1.000000
sna'o	5	5	1.000000
snatxärem	9	9	1.000000
snafpìlfya	8	10	0.800000
snatanhì	6	8	0.750000
sästarsìm	7	9	0.777778
tsu'o	5	5	1.000000
krra	3	4	0.750000
snatanhìtsyìp	8	13	0.615385
pìwopxtsyìp	8	11	0.727273
tìterkup	7	8	0.875000
maweypeyyu	7	10	0.700000
ftxulì'u	7	8	0.875000
ftxulì'uyu	8	10	0.800000
säftxulì'u	9	10	0.900000
tìftxulì'u	7	10	0.700000
slantire	8	8	1.000000
slantire si	8	10	0.800000
kum	3	3	1.000000
kuma	4	4	1.000000
akum	4	4	1.000000
fyel	4	4	1.000000
zey	3	3	1.000000
vll	2	3	0.666667
eykyu	4	5	0.800000
am'ake	5	6	0.833333
nam'ake	6	7	0.857143
kezemplltxe	8	11	0.727273
tare	4	4	1.000000
nìsoaia	6	7	0.857143
nìolo'	5	6	0.833333
sätare	6	6	1.000000
sloa	4	4	1.000000
snep	4	4	1.000000
slosnep	6	7	0.857143
peslosnep	6	9	0.666667
slosneppe	6	9	0.666667
hoet	4	4	1.000000
nìhoet	6	6	1.000000
so'ha	5	5	1.000000
tìso'ha	7	7	1.000000
nìso'ha	7	7	1.000000
leso'ha	7	7	1.000000
tsawlultxa	7	10	0.700000
zìsìtay	6	7	0.857143
tìtsunslu	6	9	0.666667
numultxa	7	8	0.875000
numultxatu	7	10	0.700000
snanumultxa	8	11	0.727273
tìflä	5	5	1.000000
säflä	4	5	0.800000
mesrram	5	7	0.714286
mesrray	6	7	0.857143
pxesrram	7	8	0.875000
pxesrray	7	8	0.875000
mong	4	4	1.000000
sru'	4	4	1.000000
'ekxin	6	6	1.000000
um	2	2	1.000000
'ekxinum	8	8	1.000000
pekxinum	8	8	1.000000
zeswa	5	5	1.000000
zeswavi	7	7	1.000000
lezeswa	6	7	0.857143
lopx	4	4	1.000000
hifwo	5	5	1.000000
yrrap	4	5	0.800000
'rrpxom	6	7	0.857143
rawm	4	4	1.000000
rawmpxom	7	8	0.875000
se'ayl	6	6	1.000000
kxor	4	4	1.000000
syanan	4	6	0.666667
rurur	2	5	0.400000
tseltsul	5	8	0.625000
tìmeyp	6	6	1.000000
am'aluke	7	8	0.875000
atanzaw	5	7	0.714286
nìsìlpey	7	8	0.875000
talun	5	5	1.000000
nìTsyungwen	9	11	0.818182
reykol	6	6	1.000000
nrra	3	4	0.750000
lenrra	5	6	0.833333
nìnrra	4	6	0.666667
snonrra	5	7	0.714286
lesnonrra	7	9	0.777778
nrr	2	3	0.666667
ylltxep	6	7	0.857143
txeptseng	7	9	0.777778
ralnga'	6	7	0.857143
munsna	5	6	0.833333
fyin	4	4	1.000000
ep'ang	6	6	1.000000
epxang	6	6	1.000000
fyinep'ang	9	10	0.900000
pefyinep'ang	9	12	0.750000
fyinep'angpe	9	12	0.750000
sngä'itseng	8	11	0.727273
srungsiyu	7	9	0.777778
srungtsyìp	9	10	0.900000
spulmokri	9	9	1.000000
syeprel	6	7	0.857143
swoa	4	4	1.000000
rou	3	3	1.000000
pamrelvi	8	8	1.000000
snapamrelvi	10	11	0.909091
tìtxen si	7	8	0.875000
fnetxum	7	7	1.000000
zet	3	3	1.000000
ha'	3	3	1.000000
syon	4	4	1.000000
ran	3	3	1.000000
fyole	5	5	1.000000
loran	5	5	1.000000
fe'ran	6	6	1.000000
reyfya	5	6	0.833333
fe'ranvi	8	8	1.000000
nìran	4	5	0.800000
mo	2	2	1.000000
snomo	4	5	0.800000
wum	3	3	1.000000
kesran	6	6	1.000000
nìksran	6	7	0.857143
yewla	5	5	1.000000
leyewla	5	7	0.714286
nìyewla	7	7	1.000000
yawnyewla	6	9	0.666667
ve'o	4	4	1.000000
vezo	4	4	1.000000
vezeyko	6	7	0.857143
vefya	5	5	1.000000
velke	4	5	0.800000
venga'	6	6	1.000000
nìfnu	4	5	0.800000
sätaron	7	7	1.000000
wäsul	5	5	1.000000
tìwäsul	7	7	1.000000
säwäsul	5	7	0.714286
säwäsultsyìp	9	12	0.750000
tìmwiä	6	6	1.000000
snew	4	4	1.000000
txantxew	6	8	0.750000
snewsye	5	7	0.714286
hìmtxew	7	7	1.000000
txantxewvay	8	11	0.727273
hìmtxewvay	10	10	1.000000
hefi	4	4	1.000000
ewku	4	4	1.000000
zìm	3	3	1.000000
yune	4	4	1.000000
syam	4	4	1.000000
'ur	3	3	1.000000
sur	3	3	1.000000
zir	3	3	1.000000
tse'atswo	7	9	0.777778
stawmtswo	6	9	0.666667
hefitswo	8	8	1.000000
ewktswo	6	7	0.857143
zìmtswo	7	7	1.000000
fkan	4	4	1.000000
onlor	4	5	0.800000
onvä'	5	5	1.000000
we'ay	5	5	1.000000
wip	3	3	1.000000
fwang	5	5	1.000000
nget	4	4	1.000000
kxänäng	5	7	0.714286
sosul	4	5	0.800000
unyor	5	5	1.000000
atxar	4	5	0.800000
inanfya	5	7	0.714286
uvan letokx	10	10	1.000000
ftärpa	6	6	1.000000
skiempa	7	7	1.000000
rengop	6	6	1.000000
tìrengop	8	8	1.000000
särengop	8	8	1.000000
ingyen	5	6	0.833333
sngumtsim	7	9	0.777778
yayayrtsim	7	10	0.700000
ingyentsim	8	10	0.800000
ingyentsyìp	9	11	0.818182
ningyen	5	7	0.714286
ingyenga'	7	9	0.777778
sngunga'	6	8	0.750000
yayayrnga'	6	10	0.600000
yrr	2	3	0.666667
nìyrr	4	5	0.800000
zäfi	4	4	1.000000
syor	4	4	1.000000
tìsyor	6	6	1.000000
tìfnunga'	8	9	0.888889
späpeng	6	7	0.857143
'anla	4	5	0.800000
sä'anla	6	7	0.857143
lie	3	3	1.000000
tsìlpey	7	7	1.000000
säsìlpey	7	8	0.875000
kelsar	6	6	1.000000
yì	2	2	1.000000
snayì	5	5	1.000000
kxaylyì	6	7	0.857143
kxamyì	6	6	1.000000
tìmyì	4	5	0.800000
flrr	3	4	0.750000
nìflrr	5	6	0.833333
tìflrr	5	6	0.833333
ngä'än	4	6	0.666667
kelkin	5	6	0.833333
nìkelkin	6	8	0.750000
sängä'än	5	8	0.625000
'eylanay	6	8	0.750000
eyktanay	6	8	0.750000
tsulfätunay	9	11	0.818182
karyunay	6	8	0.750000
tsan'ul	7	7	1.000000
fe'ul	5	5	1.000000
tìtsan'ul	8	9	0.888889
tìfe'ul	7	7	1.000000
sätsan'ul	8	9	0.888889
säfe'ul	7	7	1.000000
frafya	4	6	0.666667
postì	5	5	1.000000
ketsran	7	7	1.000000
kangay si	7	8	0.875000
txurtel	6	7	0.857143
ropx	4	4	1.000000
tsongropx	8	9	0.888889
tsrul	5	5	1.000000
yayotsrul	8	9	0.888889
lini	3	4	0.750000
tarnioang	7	9	0.777778
rong	4	4	1.000000
swek	4	4	1.000000
mektseng	7	8	0.875000
tsenga	6	6	1.000000
fta	3	3	1.000000
fta si	5	5	1.000000
fwi	3	3	1.000000
oìsss si	4	7	0.571429
il	2	2	1.000000
kxakx	3	5	0.600000
ftumfa	5	6	0.833333
sä'eoio	6	7	0.857143
sä'eoio si	6	9	0.666667
kur	3	3	1.000000
nìtkan	5	6	0.833333
nìtkanluke	8	10	0.800000
nui	3	3	1.000000
nìnu	3	4	0.750000
tìnui	5	5	1.000000
sänui	5	5	1.000000
fngä'	5	5	1.000000
zun	3	3	1.000000
zel	3	3	1.000000
'ekxinumpe	9	10	0.900000
okup	4	4	1.000000
loi	3	3	1.000000
tsyeym	5	6	0.833333
wokau	5	5	1.000000
srä	3	3	1.000000
srok	4	4	1.000000
pxayopin	7	8	0.875000
tsyoklìt	7	8	0.875000
paynäpll	6	8	0.750000
pamrelsiyu	10	10	1.000000
rel arusikx	9	10	0.900000
lì'upuk	6	7	0.857143
nìkemweypey	8	11	0.727273
kelemweypey	7	11	0.636364
'on	3	3	1.000000
salewfya	7	8	0.875000
koum	4	4	1.000000
ko'on	4	5	0.800000
yo'ko	4	5	0.800000
renulke	6	7	0.857143
vawt	4	4	1.000000
momek	4	5	0.800000
yeyfya	4	6	0.666667
yak	3	3	1.000000
yak si	5	5	1.000000
nìyeyfya	6	8	0.750000
nìftär	6	6	1.000000
nìskien	6	7	0.857143
'oratsyìp	9	9	1.000000
nìyawr	6	6	1.000000
tìsteftxaw	8	10	0.800000
yoa	3	3	1.000000
txolar	6	6	1.000000
ewro	4	4	1.000000
lawnol	5	6	0.833333
ley	3	3	1.000000
säfmi	5	5	1.000000
nìfkeytongay	10	12	0.833333
mowar	5	5	1.000000
mowar si	7	7	1.000000
mowarsiyu	9	9	1.000000
kakpam	4	6	0.666667
tìkakpam	6	8	0.750000
pxek	4	4	1.000000
kolan	5	5	1.000000
hena	4	4	1.000000
sähena	6	6	1.000000
paysena	6	7	0.857143
tutsena	6	7	0.857143
tstalsena	6	9	0.666667
swizawsena	7	10	0.700000
tìkakrel	7	8	0.875000
ngoa	4	4	1.000000
mawfwa	4	6	0.666667
neni	3	4	0.750000
fwep	4	4	1.000000
fwopx	5	5	1.000000
nìyey	4	5	0.800000
'al	3	3	1.000000
tì'al	5	5	1.000000
le'al	4	5	0.800000
nì'al	5	5	1.000000
srey	4	4	1.000000
lupra	5	5	1.000000
fyolup	6	6	1.000000
fe'lup	6	6	1.000000
snolup	6	6	1.000000
'ongop	5	6	0.833333
'ongopyu	7	8	0.875000
uniltìrantokxolo'	12	17	0.705882
krrka	3	5	0.600000
tìreyn	6	6	1.000000
LosÄntsyelesì	10	13	0.769231
tson	4	4	1.000000
nìtson	5	6	0.833333
kxìm	4	4	1.000000
tsonta	5	6	0.833333
tìkxìm	5	6	0.833333
tìkxìm si	7	8	0.875000
kxìmyu	6	6	1.000000
saylahe	6	7	0.857143
fpomron	6	7	0.857143
lefpomron	8	9	0.888889
kelfpomron	9	10	0.900000
fpomtokxnga'	11	12	0.916667
kefpomtokxnga'	12	14	0.857143
fpomronga'	9	10	0.900000
kefpomronga'	11	12	0.916667
srefpìl	7	7	1.000000
srefwa	6	6	1.000000
ken'aw	6	6	1.000000
släkop	6	6	1.000000
sngum si	6	7	0.857143
väpam	5	5	1.000000
hawmpam	5	7	0.714286
lehawmpam	7	9	0.777778
nìhawmpam	7	9	0.777778
miklor	6	6	1.000000
mikvä'	6	6	1.000000
narlor	5	6	0.833333
narvä'	6	6	1.000000
zawr	4	4	1.000000
tìnew	5	5	1.000000
nopx	4	4	1.000000
tiam	4	4	1.000000
