id	navi	ipa	infixes	partOfSpeech	localized	source
4152	frato	ˈfɾa.to	NULL	part.	superlative marker than all	Frommer => Taronyu's Dictionary
4156	trray	tṛ.ˈaj	NULL	adv.	tomorrow	Taronyu's Dictionary 9.65 < Frommer
4160	kea	ˈkɛ.a	NULL	adj.	no (before a noun)	NULL
4164	ngian	ŋi.ˈan	NULL	adv.	however	Frommer (13. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4168	skepek	ˈskɛ.pɛk̚	NULL	adj.	formal	Frommer (13. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4172	hufwa	hu.ˈfwa	NULL	conj.	although	Frommer (13. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4176	tup	tup̚	NULL	conj.	instead of, rather than	Frommer (13. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4180	'uo	ˈʔu.o	NULL	pn.	something	http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/ (14 Mar 2010)
4184	tuteo	ˈtu.tɛ.o	NULL	pn.	somebody, someone	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4188	tsengo	ˈt͡sɛ.ŋo	NULL	pn.	somewhere	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4192	holpxaype	hol.ˈp'aj.pɛ	NULL	inter.	how many	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4196	hìm	hɪm	NULL	adj.	small (in quantity)	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4200	hìmtxampe	hɪm.ˈt'am.pɛ	NULL	inter.	how much	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4204	hìmtxan	hɪm.ˈt'an	NULL	n.	amount	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4208	pìmtxan	pɪm.ˈt'an	NULL	inter.	how much	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/more-grammatical-tidbits/
4212	lì'upe	ˈlɪ.ʔu.pɛ	NULL	inter.	what (word, utterance)	Frommer (01. October 2010) http://wiki.learnnavi.org/index.php/Canon/2010/UltxaAyharyu%C3%A4#Pe-
4216	pelì'u	pɛ.ˈlɪ.ʔu	NULL	inter.	what (word, utterance)	Taronyu's Dictionary 10 < Frommer
4220	ultxarun	ul.ˈt'a.ɾ·un	ultxar<0><1><2>un	vtr.	encounter, meet by chance (ii)	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/a-collection/
4224	ultxa si	ul.ˈt'a ˈs·i	ultxa s<0><1><2>i	vin.	meet with someone intentionally (use hu with)	Frommer (15. March 2010) http://forum.learnnavi.org/language-updates/a-collection/msg143449/#msg143449
4228	rangal	ˈɾ·a.ŋ·al	r<0><1>ang<2>al	vin.	wish	http://forum.learnnavi.org/language-updates/a-collection/ (14 Mar 2010); http://forum.learnnavi.org/language-updates/confirmation-on-use-of-rangal/ (18 Aug 2011)
4232	nìrangal	nɪ.ˈɾa.ŋal	NULL	adv.	wish (contrary to fact, with perfective or imperfective subjunctive)	(14 Mar 2010) http://forum.learnnavi.org/language-updates/a-collection/; (25 Jan 2013) http://naviteri.org/2013/01/awvea-posti-zisita-amip-first-post-of-the-new-year/
4236	txepvi	ˈt'ɛp.vi	NULL	n.	spark	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/a-collection/
4240	nitram	nit.ˈɾam	NULL	adj.	happy (of people)	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/a-collection/
4244	fewi	ˈf·ɛ.w·i	f<0><1>ew<2>i	vtr.	chase	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/a-collection/
4248	stä'nì	ˈst·æʔ.n·ɪ	st<0><1>ä'n<2>ì	vtr.	catch	Frommer (14. March 2010) http://forum.learnnavi.org/language-updates/a-collection/
4272	sran	sɾan	NULL	part., intj.	yes (colloquial)	http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)
4276	weyn	w·ɛjn	w<0><1><2>eyn	vtr.	draw, illustrate	http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010); http://naviteri.org/2013/09/on-si-salewfya-shapes-and-directions/ (30 September 2013)
4280	fìtrr	fɪ.ˈtṛ	NULL	adv.	today	http://forum.learnnavi.org/language-updates/words-some-new-some-made-clear/msg145127/#msg145127 (16 Mar 2010)
4284	rusey	ɾu.ˈsɛj	NULL	adj., n.	alive, living, living thing	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4288	vitra	vit.ˈɾa	NULL	n.	soul	Taronyu's Dictionary 9.665 < Frommer
4292	nìzawnong	nɪ.ˈzaw.noŋ	NULL	adv.	safely	Frommer (16. March 2010) http://forum.learnnavi.org/language-updates/a-couple-more-examples-of-ltawmgt-%28and-the-word-for-past!%29/msg133997/#new
4296	ftawnemkrr	ftaw.ˈnɛm.kṛ	NULL	n.	past	Frommer (16. March 2010) http://forum.learnnavi.org/language-updates/a-couple-more-examples-of-ltawmgt-%28and-the-word-for-past!%29/msg133997/#new
4304	txal	t'al	NULL	n.	back (of the body)	http://forum.learnnavi.org/language-updates/a-collection/ (14 Mar 2010)
4308	tsìng	t͡sɪŋ	NULL	num.	four	NULL
4312	mrr	mṛ	NULL	num.	five	NULL
4316	pukap	ˈpu.kap̚	NULL	num.	six	NULL
4320	kinä	ˈki.næ	NULL	num.	seven	NULL
4324	vol	vol	NULL	num.	eight	NULL
4328	zam	zam	NULL	num.	sixty four	NULL
4332	tìoeyktìng	tɪ.ˈo.ɛjk.tɪŋ	NULL	n.	explanation	Frommer (19. March 2011) http://www.google.com/url?q=http%3A%2F%2Fnaviteri.org%2F2011%2F03%2Fword-order-and-case-marking-with-modals%2F&amp;sa=D&amp;sntz=1&amp;usg=AFQjCNFLJLvVMDMwpsBvsNq2WbGo32_62A
4336	lesar	lɛ.ˈsaɾ	NULL	adj.	useful	Frommer (22. March 2010) http://forum.learnnavi.org/language-updates/just-a-few-interesting-little-words/
4340	tse	t͡sɛ	NULL	part.	well (conversation starter)	Frommer (22. March 2010) http://forum.learnnavi.org/language-updates/just-a-few-interesting-little-words/
4344	skxom	sk'om	NULL	n.	chance, opportunity	Frommer (22. March 2010) http://forum.learnnavi.org/language-updates/just-a-few-interesting-little-words/
4348	fkxen	fk'ɛn	NULL	n.	vegetable (food)	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4352	syä'ä	ˈsjæ.ʔæ	NULL	adj.	bitter	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4356	yemfpay si	jɛm.ˈfpaj ˈs·i	yemfpay s<0><1><2>i	vin.	dip into liquid	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4360	yemfpay	jɛm.ˈfpaj	NULL	n.	dipping, immersion (into liquid)	Frommer (22. March 2010) http://forum.learnnavi.org/language-updates/why-is-this-night
4364	keng	kɛŋ	NULL	adv.	even, so much as	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533 Frommer (31. December 2010) http://forum.learnnavi.org/language-updates/even-keng/
4368	'awlo	ˈʔaw.lo	NULL	adv.	once	http://whyisthisnight.com/addl-more.html#na%27vi;  http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533 (22 Mar 2010)
4372	melo	ˈmɛ.lo	NULL	adv.	twice	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4380	heyn	h·ɛjn	h<0><1><2>eyn	vin.	sit	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4384	nìpxim	nɪ.ˈp'im	NULL	adv.	erectly, rightly	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4388	pxim	p'im	NULL	adj.	erect, upright	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4392	tuvon	ˈt·u.v·on	t<0><1>uv<2>on	v.	lean	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4396	nìfya'o	nɪ.ˈfja.ʔo	NULL	adv.	in a manner	Frommer http://forum.learnnavi.org/language-updates/why-is-this-night/
4400	letrrtrr	lɛ.ˈtṛ.tṛ	NULL	adj.	ordinary	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4404	nì'eoio	nɪ.ˈʔɛ.o.i.o	NULL	adv.	ceremoniously	Frommer (22. March 2010) http://whyisthisnight.com/addl-more.html#na%27vi http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4408	'eoio	ˈʔɛ.o.i.o	NULL	adj.	ceremonious	http://whyisthisnight.com/addl-more.html#na%27vi;  http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533 (22 Mar 2010)
4412	rìk	ɾɪk̚	NULL	n.	leaf	Taronyu's Dictionary 9.53 < Frommer
4416	lerìk	lɛ.ˈɾɪk̚	NULL	adj.	leafy	http://whyisthisnight.com/addl-more.html#na%27vi (22 Mar 2010);  http://forum.learnnavi.org/language-updates/why-is-this-night/msg153533/#msg153533
4424	pa'o	ˈpa.ʔo	NULL	n.	side	Taronyu's Dictionary 9.58 < Frommer
4432	kllpa	ˈkḷ.pa	NULL	n.	bottom	Taronyu's Dictionary 9.58 < Frommer
4436	mìfa	ˈmɪ.fa] or [mɪ.ˈfa	NULL	adv., n.	inside	Taronyu's Dictionary 9.663 < Frommer
4440	nefä	nɛ.ˈfæ	NULL	adv.	up (direction)	Taronyu's Dictionary 9.58 < Frommer
4444	zapxì	za.ˈp'ɪ	NULL	n.	front (part or section)	Taronyu's Dictionary 9.58 < Frommer
4448	käpxì	kæ.ˈp'ɪ	NULL	n.	rear (part or section)	Taronyu's Dictionary 9.58 < Frommer
4452	käsatseng	kæ.ˈsa.t͡sɛŋ	NULL	adv.	out there	Taronyu's Dictionary 9.58 < Frommer
4456	ftxey	ft'ɛj	NULL	conj.	whether, or	ASG
4460	ngaytxoa	ŋaj.ˈt'o.a	NULL	intj.	sorry, my apologies (acknowledgment of guilt and regret)	Taronyu's Dictionary 9.64 < Frommer
4464	flew	flɛw	NULL	n.	throat	Taronyu's Dictionary 9.64 < Frommer
4468	kxa	k'a	NULL	n.	mouth	Taronyu's dictionary 9.75 < Frommer
4472	nikre	ˈnik.ɾɛ	NULL	n.	hair	Taronyu's Dictionary 9.64 < Frommer
4476	pewn	pɛwn	NULL	n.	neck	Taronyu's Dictionary 9.64 < Frommer
4480	re'o	ˈɾɛ.ʔo	NULL	n.	head	Taronyu's Dictionary 9.64 < Frommer
4484	sre'	sɾɛʔ	NULL	n.	tooth	Taronyu's Dictionary 9.64 < Frommer
4488	tsuksìm	ˈt͡suk.sɪm	NULL	n.	chin	Taronyu's Dictionary 9.64 < Frommer
4492	key	kɛj	NULL	n.	face	Taronyu's Dictionary 9.64 < Frommer
4496	puk	puk̚	NULL	n.	book	Frommer (10. March 2010) http://schott.blogs.nytimes.com/2010/03/10/questions-answered-invented-languages/
4500	ngäng	ŋæŋ	NULL	n.	stomach	Frommer (10. March 2010) http://schott.blogs.nytimes.com/2010/03/10/questions-answered-invented-languages/
4504	ta'leng	ˈtaʔ.lɛŋ	NULL	n.	skin	Frommer (26. March 2010) http://forum.learnnavi.org/language-updates/body-related-words/
4508	tsyokx	t͡sjok'	NULL	n.	hand	Frommer (26. March 2010) http://forum.learnnavi.org/language-updates/body-related-words/
4512	reypay	ˈɾɛj.paj	NULL	n.	blood	Frommer (27. March 2010) http://forum.learnnavi.org/language-updates/body-related-poetry-part-2/
4516	tsopì	ˈt͡so.pɪ	NULL	n.	lung	Frommer (27. March 2010) http://forum.learnnavi.org/language-updates/body-related-poetry-part-2/
4520	venu	ˈvɛ.nu	NULL	n.	foot	Frommer (27. March 2010) http://forum.learnnavi.org/language-updates/body-related-poetry-part-2/
4524	venzek	ˈvɛn.zɛk̚	NULL	n.	toe	Frommer (27. March 2010) http://forum.learnnavi.org/language-updates/body-related-poetry-part-2/
4528	ramunong	ɾa.ˈmu.noŋ	NULL	n.	well	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4532	payfya	ˈpaj.fja	NULL	n.	stream	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4536	pxawpa	ˈp'aw.pa	NULL	n.	perimeter, circumference, border	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4540	txampay	t'am.ˈpaj	NULL	n.	sea, ocean	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4544	'ora	ˈʔo.ɾa	NULL	n.	lake	http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645 (28 Mar 2010)
4548	ekxan	ɛ.ˈk'an	NULL	n.	barricade, obstruction	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4552	tsim	t͡sim	NULL	n.	source	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4556	tsray	t͡sɾaj	NULL	n.	village	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4560	txayo	ˈt'a.jo	NULL	n.	field, open terrain, plain	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4564	ukxo	u.ˈk'o	NULL	adj.	dry	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4568	wew	wɛw	NULL	adj.	cold	Frommer (28 Mar 2010) http://forum.learnnavi.org/language-updates/landscape-words/msg161645/#msg161645
4576	fìtxon	fɪ.ˈt'on	NULL	adv., n.	tonight	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4580	txonam	t'o.ˈnam	NULL	adv.	last night	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4584	txonay	t'o.ˈnaj	NULL	adv.	tomorrow night	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4588	sekrr	ˈsɛ.kṛ	NULL	n.	present	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4592	vur	vuɾ	NULL	n.	story	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4596	tìpängkxo	tɪ.pæŋ.ˈk'o	NULL	n.	conversation, discussion	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4600	tìsrese'a	tɪ.ˈsɾɛ.sɛ.ʔa	NULL	n.	prophecy	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4604	nawmtu	ˈnawm.tu	NULL	n.	great person	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4608	txantstew	ˈt'an.t͡stɛw	NULL	n.	hero	Frommer (29. March 2010) http://forum.learnnavi.org/language-updates/some-new-words/
4620	syuve	ˈsju.vɛ	NULL	n.	food (collective noun, cannot be pluralised)	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010); http://forum.learnnavi.org/language-updates/grid-tidbits/msg305279/#msg305279 (08 September 2010)
4624	tsngan	t͡sŋan	NULL	n.	meat	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010)
4628	tstal	t͡stal	NULL	n.	knife	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010)
4632	tete	ˈtɛ.tɛ	NULL	adj.	dull (as a blade)	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010)
4636	lew	lɛw	NULL	n.	cover, lid	http://forum.learnnavi.org/language-updates/yom-ko!/ (02 Apr 2010)
4640	'opin	ˈʔo.pin	NULL	n.	color	http://forum.learnnavi.org/language-updates/color/ (01 Apr 2010)
4644	leNa'vi	lɛ.ˈnaʔ.vi	NULL	adj.	having to do with the Na'vi, the People	Frommer (20. January 2010) http://forum.learnnavi.org/news-announcements/a-response-from-paul-frommer!/
4648	nìNa'vi	nɪ.ˈnaʔ.vi	NULL	adv.	like the Na'vi, Na'vily	Frommer (12. December 2009) http://entertainment.timesonline.co.uk/tol/arts_and_entertainment/film/article6954138.ece
4652	hapxìtu	ha.ˈp'ɪ.tu	NULL	n.	member	Taronyu's Dictionary 9.718 < Frommer
4656	'Rrta	ˈʔṛ.ta	NULL	prop.n.	Earth	http://forum.learnnavi.org/language-updates/score!-%281%29-the-verb-to-use-%282%29-more-detail-on-teya-si/ (19 Feb 2010)
4660	fwäkìwll	ˈfwæ.kɪ.wḷ	NULL	n.	mantis orchid	http://forum.learnnavi.org/language-updates/ewll/ (4 Jul 2010)
4664	hì'ang	ˈhɪ.ʔaŋ	NULL	n.	insect	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/stxo-a-vay-set-lu-ke-awnomum/
4668	payoang	paj.ˈo.aŋ	NULL	n.	fish	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/stxo-a-vay-set-lu-ke-awnomum/
4672	yayo	ˈja.jo	NULL	n.	bird	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/stxo-a-vay-set-lu-ke-awnomum/
4676	zize'	zi.ˈzɛʔ	NULL	n.	hellfire wasp	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/stxo-a-vay-set-lu-ke-awnomum/
4680	kemlì'u	ˈkɛm.lɪ.ʔu	NULL	n.	verb	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4684	tstxolì'u	ˈt͡st'o.lɪ.ʔu	NULL	n.	noun	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4688	ftär	ftæɾ	NULL	adj.	left (not right)	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4692	skien	ˈski.ɛn	NULL	adj.	right (not left)	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4696	'änsyem	ʔæn.ˈsjɛm	NULL	adj.	complete	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4700	wotx	wot'	NULL	n.	totality, whole	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4704	mowan	mo.ˈwan	NULL	adj.	pleasing, enjoyable (physically, sexually)	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4708	vä'	væʔ	NULL	adj.	unpleasant to the senses, noisome	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4712	tatlam	tat.ˈlam	NULL	adv.	apparently	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4716	keteng	ˈkɛ.tɛŋ	NULL	adj.	different	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4720	numtseng	ˈnum.t͡sɛŋ	NULL	n.	school	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4724	skxakep	ˈsk'a.kɛp̚	NULL	adj., adv.	probable, probably	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/
4728	tìprrte'	tɪ.ˈpṛ.tɛʔ	NULL	n.	pleasure	NULL
4740	kaw'it	kaw.ˈʔit̚	NULL	adv.	not at all, not a bit (used with ke; see ke kaw'it not...at all in phrases)	Frommer (6. April 2010) http://forum.learnnavi.org/language-updates/ke-kawit/
4744	nìlkeftang	nɪl.kɛ.ˈftaŋ	NULL	adv.	continuously, incessantly, without stopping	Frommer (6. April 2010) http://forum.learnnavi.org/language-updates/karyuru-frakrr-irayo-si-ko!/
4748	tì'i'avay	tɪ.ˈʔiʔ.a.vaj	NULL	adv.	until the end	NULL
4756	'awm	ʔawm	NULL	n.	camp	http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/ (9 Apr 2010)
4760	tìska'a	tɪ.ska.ˈʔa	NULL	n.	destruction	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4764	tìsop	tɪ.ˈsop̚	NULL	n.	journey	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4768	wempongu	ˈwɛm.po.ŋu	NULL	n.	squad, military clan, battle party	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4772	asim	a.ˈsim	NULL	adv.	nearby, at close range	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4776	klltseng	ˈkḷ.t͡sɛŋ	NULL	n.	position	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4780	kxutu	ˈk'u.tu	NULL	n.	enemy	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4784	mekre	ˈmɛk.ɾɛ	NULL	n.	supplies	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4788	tìhawl	tɪ.ˈhawl	NULL	n.	preparations, plan	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4792	tìkan	tɪ.ˈkan	NULL	n.	aim, goal, purpose, target	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4796	tìpähem	tɪ.ˈpæ.hɛm	NULL	n.	arrival	Frommer (9. April 2010) http://forum.learnnavi.org/language-updates/titing-ahii-ayliu-amip-awngar/
4800	numeyu	ˈnu.mɛ.ju	NULL	n.	student	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/
4804	soaia	so.ˈa.i.a	NULL	n.	family (irregular genitive form soaiä)	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4808	tìmuntxa	tɪ.mun.ˈt'a	NULL	n.	mating, marriage	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4812	yawnetu	ˈjaw.nɛ.tu	NULL	n.	loved one	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4816	yawntu	ˈjawn.tu	NULL	n.	loved one	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4820	kakrel	kak.ˈɾɛl	NULL	adj.	blind	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4824	kanu	ˈka.nu	NULL	adj.	smart, intelligent	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4828	koak	ˈko.ak̚	NULL	adj.	old, aged (for living things)	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4832	lekye'ung	lɛk.ˈjɛ.ʔuŋ	NULL	adj.	insane, crazy	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4836	me'em	mɛ.ˈʔɛm	NULL	adj.	harmonious	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4840	txanew	ˈt'a.nɛw	NULL	adj.	greedy	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4844	txantur	ˈt'an.tuɾ	NULL	adj.	powerful	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4848	tì'awpo	tɪ.ˈʔaw.po	NULL	n.	individuality (negative connotation), selfishness	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4852	tì'eylan	tɪ.ˈʔɛj.lan	NULL	n.	friendship	Frommer (12. April 2010) http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263
4856	fkay	fkaj	NULL	adj.	hateful	http://forum.learnnavi.org/language-updates/it-ayliuya-amip-teri-sute-%28fpi-naviya-sawtuteyasi-niteng%29/msg180263/#msg180263 (12 Apr 2010)
4860	keltsun	kɛl.ˈt͡sun	NULL	adj.	impossible	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4864	kxuke	ˈk'u.kɛ	NULL	adj.	safe	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4868	lehawng	lɛ.ˈhawŋ	NULL	adj.	excessive	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4872	hawng	hawŋ	NULL	n.	overabundance	Frommer (16. April 2010) http://forum.learnnavi.org/language-updates/ayoeru-mipa-ayliu-niul-lu-tewti!/msg184001/#msg184001
4876	lekin	lɛ.ˈkin	NULL	adj.	necessary	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4884	stxong	st'oŋ	NULL	adj.	strange, unfamiliar, unknown	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4888	syen	sjɛn	NULL	adj.	last, final	Frommer (14. April 2010) http://forum.learnnavi.org/language-updates/conceptual-adjectives/
4892	kavuk	ka.ˈvuk̚	NULL	n.	treachery	Frommer (16. April 2010) http://forum.learnnavi.org/language-updates/ayoeru-mipa-ayliu-niul-lu-tewti!/msg184001/#msg184001
4896	fpìlfya	ˈfpɪl.fja	NULL	n.	thought pattern, way of thinking	Frommer (16. April 2010) http://forum.learnnavi.org/language-updates/ayoeru-mipa-ayliu-niul-lu-tewti!/msg184001/#msg184001
